0,1,2,3,4,5,6,7,8,9
123.76473236083984,124.43640899658205,128.52491760253906,133.23641967773438,135.37802124023438,139.1258087158203,139.35946655273438,138.28860473632812,133.45057678222656,128.45681762695312
124.43640899658205,128.52491760253906,133.23641967773438,135.37802124023438,139.1258087158203,139.35946655273438,138.28860473632812,133.45057678222656,128.45681762695312,130.57887268066406
128.52491760253906,133.23641967773438,135.37802124023438,139.1258087158203,139.35946655273438,138.28860473632812,133.45057678222656,128.45681762695312,130.57887268066406,131.40634155273438
133.23641967773438,135.37802124023438,139.1258087158203,139.35946655273438,138.28860473632812,133.45057678222656,128.45681762695312,130.57887268066406,131.40634155273438,130.38418579101562
135.37802124023438,139.1258087158203,139.35946655273438,138.28860473632812,133.45057678222656,128.45681762695312,130.57887268066406,131.40634155273438,130.38418579101562,133.74261474609375
139.1258087158203,139.35946655273438,138.28860473632812,133.45057678222656,128.45681762695312,130.57887268066406,131.40634155273438,130.38418579101562,133.74261474609375,133.32827758789062
139.35946655273438,138.28860473632812,133.45057678222656,128.45681762695312,130.57887268066406,131.40634155273438,130.38418579101562,133.74261474609375,133.32827758789062,133.47451782226562
138.28860473632812,133.45057678222656,128.45681762695312,130.57887268066406,131.40634155273438,130.38418579101562,133.74261474609375,133.32827758789062,133.47451782226562,132.5970458984375
133.45057678222656,128.45681762695312,130.57887268066406,131.40634155273438,130.38418579101562,133.74261474609375,133.32827758789062,133.47451782226562,132.5970458984375,131.99264526367188
128.45681762695312,130.57887268066406,131.40634155273438,130.38418579101562,133.74261474609375,133.32827758789062,133.47451782226562,132.5970458984375,131.99264526367188,131.73916625976562
130.57887268066406,131.40634155273438,130.38418579101562,133.74261474609375,133.32827758789062,133.47451782226562,132.5970458984375,131.99264526367188,131.73916625976562,131.97312927246094
131.40634155273438,130.38418579101562,133.74261474609375,133.32827758789062,133.47451782226562,132.5970458984375,131.99264526367188,131.73916625976562,131.97312927246094,129.84786987304688
130.38418579101562,133.74261474609375,133.32827758789062,133.47451782226562,132.5970458984375,131.99264526367188,131.73916625976562,131.97312927246094,129.84786987304688,127.55681610107422
133.74261474609375,133.32827758789062,133.47451782226562,132.5970458984375,131.99264526367188,131.73916625976562,131.97312927246094,129.84786987304688,127.55681610107422,126.45516204833984
133.32827758789062,133.47451782226562,132.5970458984375,131.99264526367188,131.73916625976562,131.97312927246094,129.84786987304688,127.55681610107422,126.45516204833984,126.61116027832033
133.47451782226562,132.5970458984375,131.99264526367188,131.73916625976562,131.97312927246094,129.84786987304688,127.55681610107422,126.45516204833984,126.61116027832033,122.83826446533205
132.5970458984375,131.99264526367188,131.73916625976562,131.97312927246094,129.84786987304688,127.55681610107422,126.45516204833984,126.61116027832033,122.83826446533205,122.70179748535156
131.99264526367188,131.73916625976562,131.97312927246094,129.84786987304688,127.55681610107422,126.45516204833984,126.61116027832033,122.83826446533205,122.70179748535156,122.20459747314452
131.73916625976562,131.97312927246094,129.84786987304688,127.55681610107422,126.45516204833984,126.61116027832033,122.83826446533205,122.70179748535156,122.20459747314452,117.95401000976562
131.97312927246094,129.84786987304688,127.55681610107422,126.45516204833984,126.61116027832033,122.83826446533205,122.70179748535156,122.20459747314452,117.95401000976562,118.21720886230467
129.84786987304688,127.55681610107422,126.45516204833984,126.61116027832033,122.83826446533205,122.70179748535156,122.20459747314452,117.95401000976562,118.21720886230467,124.5833511352539
127.55681610107422,126.45516204833984,126.61116027832033,122.83826446533205,122.70179748535156,122.20459747314452,117.95401000976562,118.21720886230467,124.5833511352539,121.98036193847656
126.45516204833984,126.61116027832033,122.83826446533205,122.70179748535156,122.20459747314452,117.95401000976562,118.21720886230467,124.5833511352539,121.98036193847656,118.99715423583984
126.61116027832033,122.83826446533205,122.70179748535156,122.20459747314452,117.95401000976562,118.21720886230467,124.5833511352539,121.98036193847656,118.99715423583984,117.11557006835938
122.83826446533205,122.70179748535156,122.20459747314452,117.95401000976562,118.21720886230467,124.5833511352539,121.98036193847656,118.99715423583984,117.11557006835938,118.3731918334961
122.70179748535156,122.20459747314452,117.95401000976562,118.21720886230467,124.5833511352539,121.98036193847656,118.99715423583984,117.11557006835938,118.3731918334961,113.44015502929688
122.20459747314452,117.95401000976562,118.21720886230467,124.5833511352539,121.98036193847656,118.99715423583984,117.11557006835938,118.3731918334961,113.44015502929688,118.05148315429688
117.95401000976562,118.21720886230467,124.5833511352539,121.98036193847656,118.99715423583984,117.11557006835938,118.3731918334961,113.44015502929688,118.05148315429688,116.96935272216795
