Date,Close,High,Low,Open,Volume,Daily_Return
2021-01-15,123.76473236083984,126.76296740977295,123.62844962469308,125.36119363586094,111598500.0,-0.0137303624949211
2021-01-19,124.43640899658205,125.2930517717372,123.5700370457831,124.3877334109567,90757300.0,0.005427043899581152
2021-01-20,128.52491760253906,128.97271223666024,125.13730745125214,125.244387808083,104319500.0,0.0328562085560451
2021-01-21,133.23641967773438,135.96208925479198,130.0434971272025,130.2479286583061,120150900.0,0.03665827734483007
2021-01-22,135.37802124023438,136.13731286135894,131.43553637442392,132.66208095000118,114459400.0,0.016073694922754678
2021-01-25,139.1258087158203,141.23819854253642,132.9151779412319,139.2718354812106,157611700.0,0.027683869517750814
2021-01-26,139.35946655273438,140.469201833175,137.61697822104978,139.7877880388179,98390600.0,0.001679471545005251
2021-01-27,138.28860473632812,140.46914281583642,136.68241469205358,139.6222293773767,140843800.0,-0.007684169887382741
2021-01-28,133.45057678222656,138.22050212672593,133.07093096645875,135.81607367562873,142621100.0,-0.0349850080802111
2021-01-29,128.45681762695312,133.10992008382556,126.7532754974456,132.2240746115916,177523800.0,-0.03742028903646166
2021-02-01,130.57887268066406,131.78595871131816,127.4540846986948,130.19922693086417,106239800.0,0.016519598514993072
2021-02-02,131.40634155273438,132.6912909648265,131.03642489675576,132.12668680443446,83305400.0,0.006336927675075987
2021-02-03,130.38418579101562,132.16560504134387,130.06294479305137,132.15586101329262,89880900.0,-0.007778587773167311
2021-02-04,133.74261474609375,133.75234392204015,131.01694525702797,132.68155527349182,84183100.0,0.02575794706009149
2021-02-05,133.32827758789062,133.97171978594034,132.45086722756864,133.90348403057772,75693800.0,-0.003098018974653116
2021-02-08,133.47451782226562,133.52326614630692,131.53444758226135,132.61659492201852,71297200.0,0.0010968433480182949
2021-02-09,132.5970458984375,134.42013141912292,132.4410721427205,133.1917395400492,76774200.0,-0.006574078244632187
2021-02-10,131.99264526367188,133.5525022619222,131.0274820724659,133.05529021983176,73046600.0,-0.00455817571704098
2021-02-11,131.73916625976562,132.9675435248031,130.41329236021338,132.4898338171174,64280000.0,-0.0019204024845467238
2021-02-12,131.97312927246094,132.12911793128706,130.33529298247856,130.97873504321333,60145100.0,0.001775956379092225
2021-02-16,129.84786987304688,132.59709996571863,129.45789813500429,132.09015902011436,80576300.0,-0.01610372816898531
2021-02-17,127.55681610107422,128.90219239259375,126.22119839919688,127.95653150303276,97918500.0,-0.01764413828438338
2021-02-18,126.45516204833984,126.73787846259268,124.21287353113004,125.95795008148971,96856700.0,-0.008636575342719777
2021-02-19,126.61116027832033,127.43009341839544,125.56801758188448,126.9718859638425,87668800.0,0.0012336248473656664
2021-02-22,122.83826446533205,126.46491917771368,122.44830023340782,124.797821900289,103916400.0,-0.02979907778030466
2021-02-23,122.70179748535156,123.53046696039274,115.4192408942732,120.654494241735,158273000.0,-0.0011109484538427417
2021-02-24,122.20459747314452,122.40932706149796,119.16289223137868,121.8048894495832,111039900.0,-0.004052100477716314
2021-02-25,117.95401000976562,123.28675313012444,117.51530478227164,121.55141965184008,148199500.0,-0.034782549521616746
2021-02-26,118.21720886230467,121.71712094720247,118.15870939243612,119.51382934353045,164560400.0,0.0022313684165315983
2021-03-01,124.5833511352539,124.71983750347,119.7088167333954,120.64472644599832,116307900.0,0.053851231425741775
2021-03-02,121.98036193847656,125.49002551913252,121.8731215774664,125.18780674062197,102260900.0,-0.020893555784604056
2021-03-03,118.99715423583984,122.55556651851715,118.78267349099536,121.67814867049456,112966300.0,-0.024456458853117424
2021-03-04,117.11557006835938,120.49849839926787,115.64346591859298,118.69492201638305,178155000.0,-0.01581200978765729
2021-03-05,118.3731918334961,118.88014757741404,114.61980182519048,117.94423786319923,153766600.0,0.010738296918186396
2021-03-08,113.44015502929688,117.96372195381214,113.29391752275616,117.8954787758196,154376600.0,-0.041673597947228136
2021-03-09,118.05148315429688,118.99714411910485,115.80920155325995,116.04317714685727,129525800.0,0.04064987502713735
2021-03-10,116.96935272216795,119.10439413289248,116.4526457307637,118.63644290778188,111943300.0,-0.009166597515039676
2021-03-11,118.89965057373048,120.1182842596345,118.21721868480412,119.46509838909788,103026500.0,0.016502594967311435
2021-03-12,117.99299621582033,118.1294826044811,116.1699248367297,117.3788074668468,88105100.0,-0.007625374452618239
2021-03-15,120.8787078857422,120.8884590376453,117.39829045128926,118.36345366505869,92403800.0,0.024456635245058367
2021-03-16,122.4190673828125,124.02766536377308,121.5903979495752,122.54580261068884,115227900.0,0.012743017558777048
2021-03-17,121.62938690185548,122.7017830040472,119.27010655149442,120.93720389555035,111932600.0,-0.006450633041400589
2021-03-18,117.50552368164062,120.08902837100626,117.30079413178964,119.79655333524822,121229700.0,-0.03390515503907343
2021-03-19,116.97908782958984,118.38295627751944,116.67686904236336,116.89134977056928,185549500.0,-0.004480094514340172
2021-03-22,120.29376983642578,120.76172845240195,117.24231371312756,117.310556903171,111912300.0,0.028335680063300117
2021-03-23,119.46510314941406,121.1224420531035,119.07513886679595,120.23528056214856,95467100.0,-0.006888691643287315
2021-03-24,117.0765609741211,119.816054302137,117.05706610966416,119.73805996841114,88530500.0,-0.019993639249661355
2021-03-25,117.56402587890624,118.60718345893136,116.0139273940255,116.5403780411406,98844700.0,0.004163642156288505
2021-03-26,118.1684799194336,118.4317089821302,115.93594193373995,117.33005928068576,94071200.0,0.005141488104107195
2021-03-29,118.3439483642578,119.50408995901203,117.70051367598909,118.59742624167248,80819200.0,0.0014849005838428742
2021-03-30,116.89134979248048,117.37880328833072,115.87744562855794,117.09607936818357,85671900.0,-0.012274379821317738
2021-03-31,119.08489227294922,120.42051011090868,118.10998526692909,118.59743876993916,118323800.0,0.018765652756709272
2021-04-01,119.91355895996094,121.06394949790784,119.41635431579364,120.5570011392304,75089100.0,0.006958621460666725
2021-04-05,122.74078369140624,122.99426157524732,119.9817953007638,120.7617238181442,88651200.0,0.023577189735393578
2021-04-06,123.04299926757812,123.93991183273825,122.4970537823414,123.32572316184697,80171300.0,0.002462226222473163
2021-04-07,124.69059753417967,124.7100924000349,121.99985233123648,122.67254049145969,83466700.0,0.013390426732191152
2021-04-08,127.08889770507812,127.11814372974432,125.29507210467128,125.71427504215544,88844600.0,0.01923400976758516
2021-04-09,129.66259765625,129.70158738082736,126.22117802130995,126.54289903368492,106686700.0,0.02025117848723812
2021-04-12,127.94678497314452,129.51638565340366,127.3520911781172,129.19466459616936,91420000.0,-0.01323290381436204
2021-04-13,131.0567626953125,131.28100205330475,128.61949478941824,129.11670696279845,91266500.0,0.024306806324369656
